source_file,frame_no,timestamp_epoch,tx,rx,bssid,frame_protocols,type_subtype_hex,phase,ap_identity,ssid,rsn_present,akm_suites,pairwise_cipher,pmf_capable,pmf_required,auth_alg,assoc_status_code,has_eapol,eapol_msg_num,eapol_replay_counter
track3_filtered_modified_authorized_only.pcapng,216,1781520237.676218000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,217,1781520237.778669000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,218,1781520237.881015000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,219,1781520237.984242000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,220,1781520238.086278000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,221,1781520238.190004000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,222,1781520238.291172000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,223,1781520238.393469000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,224,1781520238.495605000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,225,1781520238.599945000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,226,1781520238.700919000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,227,1781520238.802856000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,228,1781520238.904994000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,229,1781520239.007624000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,230,1781520239.109870000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
